UPJONG_CD,YM,TIME,CARD_TOTAL,CARD_TRY
ss001,201701,1,10,10
ss001,201903,3,10,5
ss001,201609,2,20,20
ss001,201901,5,15,292
ss001,201812,6,10,45
ss001,202003,4,5,221
ss001,201812,4,15,25
ss001,201602,6,5,35
ss001,202106,2,5,20
ss001,202008,3,70,10
ss001,201705,5,5,0
ss001,202104,5,15,25
ss001,202107,3,91,80
ss001,202001,3,55,136
ss001,201911,6,5,70
ss001,201902,6,5,60
ss001,201801,4,101,5
ss001,202010,2,10,40
ss001,201707,2,10,0
ss001,201703,3,5,0
ss001,201905,4,10,5
ss001,201805,4,201,5
ss001,201906,2,5,15
ss001,201806,4,10,15
ss001,201709,3,5,5
ss001,201602,4,5,10
ss001,201812,4,5,0
ss001,201601,3,5,20
ss001,201903,4,196,0
ss001,201707,3,191,5
ss001,201904,3,25,20
ss001,202010,5,5,70
ss001,202012,2,96,25
ss001,201907,2,75,91
ss001,201812,3,50,10
ss001,202003,3,5,226
ss001,201705,4,5,166
ss001,202010,3,5,20
ss001,201810,5,15,10
ss001,201903,3,5,0
ss001,201703,5,35,5
ss001,201804,4,20,30
ss001,201603,1,5,20
ss001,201707,3,60,5
ss001,201810,4,10,5
ss001,201909,4,70,0
ss001,202103,5,30,0
ss001,201607,3,25,5
ss001,201608,5,136,5
ss001,201612,2,5,10
ss001,201902,5,5,20
ss001,201705,4,30,30
ss001,201806,3,25,30
ss001,201608,2,10,10
ss001,201907,6,121,0
ss001,202101,6,65,10
ss001,201605,3,35,0
ss001,201607,1,25,65
ss001,201610,5,5,35
ss001,201912,2,10,0
ss001,202008,5,25,55
ss001,201912,2,10,5
ss001,202104,3,10,10
ss001,201805,4,80,45
ss001,201810,3,30,0
ss001,201803,2,5,116
ss001,201712,3,5,20
ss001,201707,4,30,5
ss001,202101,5,5,15
ss001,202107,2,20,5
ss001,201901,2,5,5
ss001,201608,4,35,10
ss001,201603,5,45,0
ss001,201611,6,287,25
ss001,201804,6,10,65
ss001,201706,2,5,0
ss001,202009,2,30,25
ss001,201812,5,10,0
ss001,201811,5,5,30
ss001,202102,6,15,5
ss001,201609,5,15,70
ss001,201912,5,10,0
ss001,201701,2,30,5
ss001,201905,4,35,0
ss001,202010,5,5,10
ss001,201603,3,5,5
ss001,201904,5,15,0
ss001,201705,6,15,10
ss001,201908,2,30,0
ss001,201803,3,30,10
ss001,201606,3,111,5
ss001,201606,6,5,40
ss001,201709,4,60,15
ss001,202007,1,106,15
ss002,201810,3,10,25
ss002,201808,6,5,5
ss002,202012,5,50,0
ss002,201801,5,5,0
ss002,201902,2,10,20
ss002,202001,3,111,0
ss002,201908,3,15,5
ss002,201707,4,126,30
ss002,201608,6,86,10
ss002,201902,5,5,10
ss002,202101,5,5,5
