서울시민업종코드(UPJONG_CD),기준년월(YM),시간대구간(TIME),고객주소블록코드(BLOCK_CD),카드이용금액계(AMT_CORR),소액결제건수(MICRO_PYM)
ss001,201701,1,200247,10,10
ss001,201903,3,17341,10,5
ss001,201609,2,153397,20,20
ss001,201901,5,330242,15,292
ss001,201812,6,156445,10,45
ss001,202003,4,222868,5,221
ss001,201812,4,361911,15,25
ss001,201602,6,151968,5,35
ss001,202106,2,16138,5,20
ss001,202008,3,362321,70,10
ss001,201705,5,220724,5,0
ss001,202104,5,20501,15,25
ss001,202107,3,217416,91,80
ss001,202001,3,211614,55,136
ss001,201911,6,230309,5,70
ss001,201902,6,207405,5,60
ss001,201801,4,21754,101,5
ss001,202010,2,179330,10,40
ss001,201707,2,214661,10,0
ss001,201703,3,28101,5,0
ss001,201905,4,278928,10,5
ss001,201805,4,232571,201,5
ss001,201906,2,210447,5,15
ss001,201806,4,15484,10,15
ss001,201709,3,22044,5,5
ss001,201602,4,210795,5,10
ss001,201812,4,220404,5,0
ss001,201601,3,19212,5,20
ss001,201903,4,166669,196,0
ss001,201707,3,13982,191,5
ss001,201904,3,218165,25,20
ss001,202010,5,422018,5,70
ss001,202012,2,120153,96,25
ss001,201907,2,225286,75,91
ss001,201812,3,156429,50,10
ss001,202003,3,13641,5,226
ss001,201705,4,218626,5,166
ss001,202010,3,218631,5,20
ss001,201810,5,232922,15,10
ss001,201903,3,127432,5,0
ss001,201703,5,408345,35,5
ss001,201804,4,366709,20,30
ss001,201603,1,12912,5,20
ss001,201707,3,413157,60,5
ss001,201810,4,152242,10,5
ss001,201909,4,8529,70,0
ss001,202103,5,13136,30,0
ss001,201607,3,414482,25,5
ss001,201608,5,229668,136,5
ss001,201612,2,224186,5,10
ss001,201902,5,229502,5,20
ss001,201705,4,216874,30,30
ss001,201806,3,154615,25,30
ss001,201608,2,157228,10,10
ss001,201907,6,179016,121,0
ss001,202101,6,9772,65,10
ss001,201605,3,157155,35,0
ss001,201607,1,213850,25,65
ss001,201610,5,20891,5,35
ss001,201912,2,365895,10,0
ss001,202008,5,277507,25,55
ss001,201912,2,12814,10,5
ss001,202104,3,13245,10,10
ss001,201805,4,332243,80,45
ss001,201810,3,153222,30,0
ss001,201803,2,11511,5,116
ss001,201712,3,22151,5,20
ss001,201707,4,408216,30,5
ss001,202101,5,221922,5,15
ss001,202107,2,361684,20,5
ss001,201901,2,279780,5,5
ss001,201608,4,11394,35,10
ss001,201603,5,413323,45,0
ss001,201611,6,28557,287,25
ss001,201804,6,232036,10,65
ss001,201706,2,217349,5,0
ss001,202009,2,276702,30,25
ss001,201812,5,221644,10,0
ss001,201811,5,9152,5,30
ss001,202102,6,16708,15,5
ss001,201609,5,158384,15,70
ss001,201912,5,421697,10,0
ss001,201701,2,421579,30,5
ss001,201905,4,219289,35,0
ss001,202010,5,209200,5,10
ss001,201603,3,219256,5,5
ss001,201904,5,353297,15,0
ss001,201705,6,414044,15,10
ss001,201908,2,207907,30,0
ss001,201803,3,420425,30,10
ss001,201606,3,116797,111,5
ss001,201606,6,414201,5,40
ss001,201709,4,198065,60,15
ss001,202007,1,12199,106,15
ss002,201810,3,9105,10,25
ss002,201808,6,224580,5,5
ss002,202012,5,153254,50,0
ss002,201801,5,230873,5,0
ss002,201902,2,13877,10,20
ss002,202001,3,154067,111,0
ss002,201908,3,206417,15,5
ss002,201707,4,209862,126,30
ss002,201608,6,216137,86,10
ss002,201902,5,361316,5,10
ss002,202101,5,25882,5,5
ss002,202009,2,223132,55,25
ss002,201808,1,339845,573,10
ss002,201603,6,420699,10,35
ss002,201608,5,226303,196,5
ss002,201903,2,416633,15,30
ss002,201603,6,344250,10,0
ss002,201907,3,20121,5,10
ss002,202106,4,232830,80,5
ss002,201810,5,415521,80,5
ss002,201901,4,19896,141,15
ss002,201710,2,228943,45,5
ss002,201708,1,366079,10,5
ss002,202012,5,211996,10,0
ss002,202105,3,220999,5,0
ss002,201805,4,30855,10,5
ss002,201805,4,229676,5,55
ss002,201912,5,231855,15,5
ss002,202006,3,64087,166,0
ss002,201911,3,413704,65,10
ss002,201701,1,15279,5,10
ss002,201802,3,224819,35,15
ss002,201701,2,214881,5,5
ss002,201708,5,208178,5,15
ss002,201612,3,208031,10,0
ss002,202009,5,348266,5,0
ss002,202011,2,219110,30,0
ss002,202005,5,223311,10,20
ss002,202104,4,213692,70,35
ss002,201610,6,12445,15,0
ss002,202005,5,231679,5,30
ss002,201910,4,209210,55,40
ss002,202011,6,361804,5,0
ss002,201611,5,107009,10,80
ss002,201704,3,276391,45,25
ss002,201805,3,207290,221,5
ss002,201706,3,14076,5,10
ss002,201812,2,14698,5,10
ss002,202004,4,345917,5,0
ss002,201812,6,8573,5,5
ss002,202107,3,210162,5,156
ss002,202009,3,339082,15,35
ss002,201804,4,343814,10,161
ss002,201803,2,155750,10,30
ss002,202006,6,11063,257,25
ss002,202012,3,219861,10,0
ss002,201903,6,10651,20,55
ss002,202009,1,148754,106,5
ss002,201601,6,204110,5,5
ss002,201701,5,210501,5,10
ss002,202005,2,197586,15,257
ss002,201708,2,217326,55,0
ss002,201809,6,215354,40,30
ss002,201902,2,214706,10,86
ss002,202004,4,9623,10,0
ss002,201903,3,146958,5,10
ss002,202105,3,155843,10,0
ss002,201911,5,366735,5,5
ss001,202003,4,26129,20,5
ss001,201702,3,210495,5,5
ss001,202105,4,9336,10,70
ss001,201611,2,155973,5,0
ss001,202103,4,412187,5,30
ss001,201604,4,226161,5,20
ss001,201912,6,414363,80,10
ss001,201605,3,32888,40,357
ss001,201910,3,197734,5,10
ss001,201708,3,153112,15,86
ss001,202012,6,499436,5,5
ss001,201611,2,342032,10,0
ss001,202005,3,225546,5,5
ss001,201808,4,10792,30,5
ss001,201705,5,364714,5,5
ss001,202107,2,18072,15,10
ss001,201708,6,339941,10,80
ss001,202105,3,211357,10,5
ss001,201811,5,20979,5,15
ss001,202107,2,214516,101,5
ss001,202009,4,210784,5,10
ss001,201812,6,216411,10,0
ss001,201902,3,422985,5,30
ss001,201608,4,211709,5,201
ss001,201903,2,412921,15,0
ss001,201809,4,419077,151,5
ss001,201809,5,412033,5,55
ss001,201709,2,216805,30,10
ss001,201909,4,225893,5,5
ss001,202002,4,206853,121,40
ss004,201901,3,210784,10,15
ss004,202103,6,353703,20,15
ss004,201901,6,421462,10,5
ss004,201911,3,19692,5,45
ss004,201702,4,214757,5,35
ss004,201707,2,280252,5,50
ss004,202008,5,90214,25,5
ss004,201707,5,411571,5,15
ss004,201803,5,349038,45,5
ss004,201707,3,152208,35,5
ss004,202003,2,21414,201,20
ss004,202001,5,17619,5,5
ss004,202002,5,15417,10,106
ss004,201905,3,207018,5,0
ss004,201811,6,219830,35,10
ss004,202101,4,245855,186,0
ss004,201707,5,13482,191,211
ss003,202001,2,413018,15,0
ss003,202101,5,342225,15,15
ss003,201911,4,230407,196,5
ss003,201608,5,229707,15,5
ss003,201701,6,208842,5,0
ss003,201611,6,273072,10,0
ss003,202002,6,218537,20,5
ss003,201807,2,228332,5,15
ss003,202106,4,224185,40,141
ss003,201808,3,33140,15,5
ss003,201812,4,168828,65,20
ss003,202101,3,231287,10,60
ss003,201910,4,11934,25,0
ss003,202107,4,219613,101,96
ss003,201711,3,360667,5,10
ss003,202012,5,416873,30,0
