업종대분류(UPJONG_CLASS1),기준일자(YMD),시간대구간(TIME),고객주소집계구별(TOT_REG_CD),카드이용금액계(AMT_CORR),카드이용건수계(USECT_CORR)
요식/유흥,20161004,6,1.12E+12,104624,10
유통,20210303,5,1.12E+12,382592,20
유통,20170606,6,1.12E+12,341688,5
스포츠/문화/레저,20171206,5,1.12E+12,925118,5
의료,20160909,6,1.11E+12,217985,50
스포츠/문화/레저,20161121,3,1.12E+12,592031,10
의료,20191020,3,1.12E+12,34959,5
자동차/주유,20170625,3,1.12E+12,5030,20
요식/유흥,20180427,6,1.11E+12,331980,5
스포츠/문화/레저,20180118,2,1.12E+12,19617,5
가정생활/서비스,20180112,4,1.12E+12,365555,10
유통,20201009,6,1.12E+12,301800,5
유통,20171128,3,1.11E+12,276650,10
유통,20170502,6,1.13E+12,1016060,25
전자상거래,20191130,4,1.11E+12,35210,20
의료,20200324,1,1.12E+12,1159264,5
전자상거래,20170929,1,1.11E+12,168958,10
전자상거래,20181210,5,1.12E+12,699899,5
가정생활/서비스,20161011,5,1.11E+12,1207200,10
유통,20190510,5,1.11E+12,1443610,20
자동차/주유,20200117,5,1.12E+12,5111989,5
스포츠/문화/레저,20181015,6,1.11E+12,776330,45
의료,20200203,6,1.12E+12,812345,5
전자상거래,20171202,3,1.11E+12,181080,60
자동차/주유,20200831,2,1.11E+12,317896,40
전자상거래,20200203,4,1.11E+12,29174,10
자동차/주유,20210623,6,1.12E+12,5030,5
스포츠/문화/레저,20190810,2,1.12E+12,191140,10
교육/학원,20201102,4,1.12E+12,813351,15
유통,20161230,6,1.11E+12,305975,55
요식/유흥,20170304,3,1.12E+12,274789,15
스포츠/문화/레저,20171004,3,1.12E+12,137822,20
가정생활/서비스,20160110,4,1.12E+12,56336,5
가정생활/서비스,20160417,4,1.10E+12,12575,5
의료,20190102,2,1.12E+12,598570,5
요식/유흥,20160706,1,1.11E+12,43208,40
전자상거래,20190422,2,1.12E+12,953084,5
스포츠/문화/레저,20160906,5,1.10E+12,753896,10
의료,20170401,3,1.12E+12,5098006,10
전자상거래,20190225,2,1.11E+12,130277,25
가정생활/서비스,20180509,2,1.12E+12,140840,5
요식/유흥,20200508,4,1.11E+12,262616,5
유통,20191208,2,1.12E+12,1050264,5
가정생활/서비스,20190515,6,1.12E+12,25150,10
